timestamp,person_id,access_type,confidence,is_normal,role,device_id
2026-02-01T04:29:47.513351,resident_1,entry,0.8885,yes,resident,door_001
2026-02-01T04:44:47.513351,resident_2,entry,0.8542,yes,resident,door_001
2026-02-01T04:56:47.513351,resident_3,entry,0.9129,yes,resident,door_001
2026-02-01T06:28:47.513351,caregiver_2,entry,0.9143,yes,caregiver,door_001
2026-02-01T06:47:47.513351,caregiver_1,entry,0.9032,yes,caregiver,door_001
2026-02-01T07:01:47.513351,caregiver_2,exit,0.9862,yes,caregiver,door_001
2026-02-01T07:28:47.513351,caregiver_1,exit,0.9686,yes,caregiver,door_001
2026-02-01T10:59:47.513351,caregiver_1,entry,0.8718,yes,caregiver,door_001
2026-02-01T11:47:47.513351,caregiver_2,entry,0.9273,yes,caregiver,door_001
2026-02-01T11:59:47.513351,caregiver_1,exit,0.9569,yes,caregiver,door_001
2026-02-01T12:43:47.513351,caregiver_2,exit,0.938,yes,caregiver,door_001
2026-02-01T14:17:47.513351,resident_2,exit,0.8778,yes,resident,door_001
2026-02-01T14:25:47.513351,resident_1,exit,0.9537,yes,resident,door_001
2026-02-01T14:30:47.513351,resident_3,exit,0.9628,yes,resident,door_001
2026-02-02T04:37:47.513771,resident_2,entry,0.5793,no,resident,door_001
2026-02-02T04:52:47.513771,resident_3,entry,0.9018,yes,resident,door_001
2026-02-02T05:18:47.513771,resident_1,entry,0.8769,yes,resident,door_001
2026-02-02T05:56:47.513771,caregiver_2,entry,0.9651,yes,caregiver,door_001
2026-02-02T06:51:47.513771,caregiver_2,exit,0.8942,yes,caregiver,door_001
2026-02-02T08:16:47.513771,caregiver_1,entry,0.9521,yes,caregiver,door_001
2026-02-02T08:51:47.513771,caregiver_1,exit,0.9147,yes,caregiver,door_001
2026-02-02T13:56:47.513771,caregiver_2,entry,0.9458,yes,caregiver,door_001
2026-02-02T14:52:47.513771,caregiver_2,exit,0.9576,yes,caregiver,door_001
2026-02-02T15:31:47.513771,resident_1,exit,0.8905,yes,resident,door_001
2026-02-02T16:26:47.513771,resident_3,exit,0.9811,yes,resident,door_001
2026-02-03T04:40:47.513995,resident_1,entry,0.982,yes,resident,door_001
2026-02-03T05:20:47.513995,resident_3,entry,0.8589,yes,resident,door_001
2026-02-03T05:29:47.513995,resident_2,entry,0.9318,yes,resident,door_001
2026-02-03T08:55:47.513995,resident_1,exit,0.9418,yes,resident,door_001
2026-02-03T10:05:47.513995,resident_2,exit,0.8807,yes,resident,door_001
2026-02-03T10:09:47.513995,caregiver_1,entry,0.8721,yes,caregiver,door_001
2026-02-03T10:15:47.513995,resident_3,exit,0.8852,yes,resident,door_001
2026-02-03T10:35:47.513995,caregiver_2,entry,0.9395,yes,caregiver,door_001
2026-02-03T10:39:47.513995,caregiver_1,exit,0.9835,yes,caregiver,door_001
2026-02-03T11:24:47.513995,caregiver_2,exit,0.8778,yes,caregiver,door_001
2026-02-03T11:25:47.513995,resident_3,entry,0.9509,yes,resident,door_001
2026-02-03T12:14:47.513995,resident_2,entry,0.9191,yes,resident,door_001
2026-02-03T14:30:47.513995,caregiver_2,entry,0.875,yes,caregiver,door_001
2026-02-03T14:37:47.513995,resident_2,exit,0.8654,yes,resident,door_001
2026-02-03T14:38:47.513995,resident_1,entry,0.978,yes,resident,door_001
2026-02-03T15:29:47.513995,caregiver_2,exit,0.8649,yes,caregiver,door_001
2026-02-03T16:31:47.513995,resident_3,exit,0.9397,yes,resident,door_001
2026-02-03T16:51:47.513995,resident_1,exit,0.8871,yes,resident,door_001
2026-02-04T03:47:47.514216,resident_2,entry,0.9525,yes,resident,door_001
2026-02-04T04:16:47.514216,resident_1,entry,0.9835,yes,resident,door_001
2026-02-04T04:27:47.514216,resident_3,entry,0.8936,yes,resident,door_001
2026-02-04T06:37:47.514216,caregiver_2,entry,0.8963,yes,caregiver,door_001
2026-02-04T07:20:47.514216,resident_1,exit,0.8954,yes,resident,door_001
2026-02-04T07:23:47.514216,caregiver_2,exit,0.8833,yes,caregiver,door_001
2026-02-04T08:42:47.514216,caregiver_1,entry,0.8599,yes,caregiver,door_001
2026-02-04T09:10:47.514216,resident_3,exit,0.9759,yes,resident,door_001
2026-02-04T09:32:47.514216,caregiver_1,exit,0.8582,yes,caregiver,door_001
2026-02-04T10:49:47.514216,resident_1,entry,0.9801,yes,resident,door_001
2026-02-04T11:31:47.514216,resident_2,exit,0.8676,yes,resident,door_001
2026-02-04T13:49:47.514216,resident_3,entry,0.8847,yes,resident,door_001
2026-02-04T14:03:47.514216,resident_3,exit,0.8529,yes,resident,door_001
2026-02-04T14:17:47.514216,resident_2,entry,0.8731,yes,resident,door_001
2026-02-04T15:57:47.514216,resident_1,exit,0.8581,yes,resident,door_001
2026-02-04T16:55:47.514216,resident_2,exit,0.98,yes,resident,door_001
2026-02-05T03:57:47.514431,resident_3,entry,0.8768,yes,resident,door_001
2026-02-05T04:16:47.514431,resident_1,entry,0.8685,yes,resident,door_001
2026-02-05T05:11:47.514431,resident_2,entry,0.9709,yes,resident,door_001
2026-02-05T06:23:47.514431,caregiver_1,entry,0.9899,yes,caregiver,door_001
2026-02-05T07:19:47.514431,caregiver_1,exit,0.8521,yes,caregiver,door_001
2026-02-05T08:09:47.514431,resident_3,exit,0.8757,yes,resident,door_001
2026-02-05T08:52:47.514431,caregiver_2,entry,0.9069,yes,caregiver,door_001
2026-02-05T09:37:47.514431,caregiver_2,exit,0.8799,yes,caregiver,door_001
2026-02-05T11:18:47.514431,resident_1,exit,0.9162,yes,resident,door_001
2026-02-05T13:45:47.514431,resident_2,exit,0.9064,yes,resident,door_001
2026-02-05T13:48:47.514431,resident_1,exit,0.9423,yes,resident,door_001
